ghi_10min,air_temp,
832,20.1,1
832,19.52,1
831,19.74,1
828,19.8,1
821,20.7,1
814,20.6,1
802,20.8,1
790.3,21,1
778,21,1
762.9,21.2,1
747.5,21.14,1
725.9,21.16,1
709.5,21.48,1
690.1,21.4,1
659.7,21.4,1
647.1,21.6,1
619.8,21.86,1
592.4,21.46,1
547.3,22.16,1
522.3,22.34,1
522.8,21.72,1
488.3,21.92,1
392.4,21.94,1
386.6,21.68,1
405.1,21.4,1
361.8,21.44,1
320.9,21.7,1
296.1,21.76,1
261.2,21.3,1
226.7,21.46,1
194.7,21.84,1
159.2,20.8,1
125.8,20.98,1
90.6,21.04,1
53.94,20.6,1
23.34,20.14,1
5.7,19.6,1
4.56,8.3,1
4.28,9.1,1
28.12,9.4,1
60.25,9.2,1
97.3,9.6,1
125.5,9.12,1
159.3,10.26,1
193.9,11.7,1
229.1,12.2,1
263,12.36,1
298.1,12.9,1
321.2,13.1,1
354.8,13.86,1
393.7,15.1,1
432,16.02,1
450.2,16.9,1
494.9,16.9,1
517.1,17.9,1
547.9,18.06,1
562.4,17.92,1
601.6,18.62,1
626.9,19,1
649.7,19.64,1
674.1,19.48,1
696.9,20.02,1
716.8,20.86,1
733.5,20.48,1
750.2,20.7,1
763.4,21.6,1
779.3,21.9,1
785.6,22.48,1
803,22.5,1
815,22.04,1
822,22.26,1
820,21.82,1
836,23.16,1
774.4,22.6,1
814,22.6,1
828,23.38,1
866,22.58,1
811,22.36,1
823,23.36,1
808,23.66,1
791.4,22.96,1
784.3,23.5,1
747.1,22.9,1
722.9,23.34,1
738.3,23.9,1
442.8,23.2,1
678.7,23.7,1
665.5,23.82,1
653.3,24.5,1
628.1,24.4,1
582.5,24.12,1
436.3,24.44,1
542.6,24.6,1
487,24.24,1
292.1,24.3,1
548.5,24.34,1
492.6,24.6,1
315.8,24.24,1
302.7,24.2,1
226,24.1,1
191.6,23.9,1
308.3,23.9,1
260.9,23.96,1
200,24.1,1
152.9,24.04,1
95.5,23.56,1
77.46,22.46,1
46.73,21.86,1
17.45,21.24,1
3.65,20.6,1
3.08,10.9,1
6.89,10.78,1
28.2,10.2,1
61.17,9.98,1
85.3,10.32,1
149.4,11.08,1
196.9,11.76,1
224.4,12.6,1
184.5,13.36,1
167.1,13.7,1
233.9,14.4,1
238.1,15.08,1
266.1,15.48,1
352.4,16.48,1
405.3,17.3,1
307.2,17.9,1
338.6,17.7,1
439.1,17.7,1
481.1,18.16,1
460.6,18.5,1
560.1,18.92,1
574.1,19.5,1
635.9,19.7,1
557.1,20,1
668.2,20.4,1
673.2,20.74,1
669.7,20.9,1
686.5,21.28,1
700.6,21.4,1
745.2,21.78,1
784.9,22.1,1
810,22.1,1
810,22.7,1
815,22.72,1
812,22.7,1
814,23.1,1
818,23.98,1
820,23.98,1
818,24.36,1
812,24.22,1
806,23.9,1
792.9,23.8,1
785.6,24.72,1
772.9,24.5,1
759.8,24.66,1
745.6,24.6,1
729,24.4,1
711.4,24.18,1
691,24.8,1
672.8,24.4,1
649.8,24.66,1
627.3,25.1,1
601.1,24.66,1
577.9,24.6,1
553.7,24.88,1
524.8,24.4,1
496.6,24.6,1
467.2,25,1
435.7,24.6,1
404.8,24.54,1
373.4,24.6,1
341.1,24.4,1
307.2,24.24,1
273.2,24.3,1
241.6,24.08,1
208.2,24,1
167.2,23.74,1
143.1,23.4,1
108.9,23.1,1
39.65,22.9,1
18.31,22.5,1
21.73,22.1,1
5.26,21.76,1
3.85,7,1
5.45,7.06,1
15.76,7.2,1
23.09,7.5,1
35.16,7.5,1
45.78,7.74,1
161.4,8.2,1
169.1,9.26,1
219.8,10.24,1
196.3,11.1,1
167.5,11.6,1
135.6,11.9,1
246.1,12.04,1
302.9,12.9,1
337.7,13.14,1
456.1,13.64,1
444.2,14.14,1
531.8,14.9,1
557,15.6,1
568.7,16.6,1
615.5,16.3,1
649.5,16.8,1
558.1,17.7,1
709.5,17.86,1
720.4,17.86,1
677.5,18.8,1
765.4,19.46,1
685.8,19.8,1
797,19.22,1
823,20.14,1
820,20.3,1
894,20.48,1
587.7,20.7,1
424.3,20.26,1
755.6,20.36,1
866,20.9,1
836,21.02,1
778.6,21.1,1
827,22.54,1
827,23.2,1
823,23.16,1
793.3,23.86,1
816,24.4,1
823,23.8,1
859,24.1,1
618.2,24.14,1
633.7,23.54,1
556.5,24.06,1
730.1,23.92,1
698.6,24.16,1
668.7,24.9,1
640.8,24.4,1
614.7,24.7,1
584.8,25.1,1
548.2,24.94,1
529.2,24.54,1
504.6,23.94,1
466.4,24.34,1
429.8,24.6,1
390.1,24.6,1
366,24,1
339.8,23.98,1
309.4,23.88,1
276,23.86,1
243.2,23.5,1
211.4,23.5,1
179.1,22.9,1
149.9,22.9,1
116.3,22.9,1
79.05,22.6,1
50.84,22,1
26.44,21.22,1
7.73,20.48,1
3.49,5.6,1
3.41,5.6,1
29.48,5.5,1
63.42,5.86,1
99.6,6.06,1
125.6,6.6,1
153.4,7.28,1
185.8,8.76,1
220.8,9.4,1
253.9,10.32,1
289.2,10.48,1
322.2,10.9,1
355.3,11.4,1
389,11.8,1
421.6,12.2,1
453.3,13,1
485.5,13.64,1
515.6,14.02,1
541.9,14.78,1
571.7,14.8,1
599.2,15.4,1
624.4,15.3,1
646.6,16.02,1
669.6,16.3,1
692.9,16.6,1
714.5,17.16,1
731.7,17.7,1
747.6,18.32,1
763.3,18.16,1
778.2,18.96,1
792.2,19.14,1
801,20,1
811,20.2,1
818,20.44,1
824,20.3,1
822,20.3,1
831,20.6,1
829,21.62,1
828,22.4,1
826,22.18,1
820,22.22,1
810,22.34,1
804,22.46,1
792,22.5,1
782.8,23.18,1
768.8,23.1,1
753.1,23.36,1
736,23.56,1
720.7,23.38,1
697.3,23.7,1
676.1,23.9,1
653.4,23.8,1
630.5,24.26,1
606.4,24.02,1
584.4,24.08,1
551.3,23.9,1
524.4,24.26,1
495.2,23.9,1
462.6,24.42,1
433,24.3,1
388.3,24,1
376.1,24.4,1
342,24.1,1
305.8,23.88,1
215.3,24.1,1
175,23.8,1
215,23.5,1
188.5,23.2,1
152.2,23.2,1
116.9,23.3,1
83.5,23.32,1
42.74,22.9,1
23,21.96,1
5.12,20.46,1
5.08,8.9,1
10.55,8.2,1
38.36,8.86,1
70.37,9,1
104,9.16,1
131.5,9.56,1
165.4,9.8,1
200.8,10.88,1
234.2,11.5,1
269,12.5,1
303.2,13.7,1
337.9,13.5,1
370.4,13.7,1
403.5,14,1
435.4,14.4,1
467.2,14.94,1
497.2,15.4,1
527.7,15.7,1
556.1,16.1,1
583.8,16.5,1
610.3,16.56,1
634.7,17.26,1
658.7,17.7,1
681.6,18.04,1
702.9,18.5,1
721.6,18.72,1
741.2,19.3,1
756.4,19.4,1
772.1,19.7,1
787.1,20.28,1
798,20.76,1
808,20.9,1
815,21.2,1
823,21.72,1
828,22,1
831,22.1,1
831,22.58,1
834,22.4,1
833,23.04,1
828,22.84,1
819,23.04,1
814,22.9,1
806,23.18,1
791.4,23,1
777.5,23.5,1
761.2,23.5,1
745.6,23.14,1
727.1,22.98,1
710,23.7,1
692.5,23.78,1
667.1,23.7,1
644.5,23.9,1
620.8,23.52,1
592,24.1,1
571.8,24.3,1
540,23.84,1
514.1,24.04,1
482.5,24,1
451.4,23.9,1
420.3,24,1
391.4,23.7,1
356.3,23.62,1
323.5,23.8,1
289.9,23.8,1
255.1,23.52,1
222.3,23.6,1
190,23.82,1
156,23.3,1
122.9,23.28,1
90.9,23,1
61.66,22.8,1
34.51,22.6,1
13.76,21.88,1
2.1,21.1,1
7.07,8.8,1
13.73,8.9,1
42.69,8.94,1
76.13,9.2,1
109,9.4,1
136.8,9.8,1
171.4,9.9,1
206,10.86,1
240.7,12.2,1
275.1,13.46,1
309.1,14.68,1
342.7,15.28,1
376.8,15.9,1
408.6,16.1,1
441.3,16.8,1
473.4,17.1,1
504.7,17.4,1
534,17.9,1
562.9,18.54,1
591.2,18.36,1
617.3,19.22,1
641.7,19.82,1
665.9,20.4,1
688.7,20.74,1
709,21.9,1
730,21.02,1
747.4,21.9,1
765.1,22.3,1
781.1,22.9,1
795.1,23.7,1
806,23.7,1
817,24.44,1
824,24.28,1
834,24.44,1
839,24.66,1
842,25.04,1
844,25.34,1
843,25.12,1
839,25.58,1
833,26.06,1
831,25.66,1
823,26.04,1
813,25.6,1
802,26.48,1
789.7,26.54,1
777.7,27.3,1
760.1,26.84,1
745.6,27.52,1
723.4,27.6,1
702.1,27.16,1
679.9,27.2,1
657.8,27.7,1
631.9,27.02,1
599.4,27.4,1
577.9,26.86,1
553.2,27.34,1
521.2,27.7,1
495,27.7,1
465,27.5,1
430.3,27.2,1
398.3,26.96,1
368.7,27.02,1
331.6,27.02,1
268.4,26.9,1
241.7,26.46,1
211.4,26.1,1
192.3,26.3,1
162.3,25.92,1
132.6,25.8,1
98.3,25.6,1
53.2,25.2,1
28.3,24.7,1
9.84,24.06,1
1.55,22.46,1
8.96,8.6,1
19.62,8.6,1
45.74,8.8,1
96.7,9.1,1
141.5,9.6,1
181.7,10.06,1
230.6,10.8,1
243.8,11.4,1
274,11.88,1
225.3,12.2,1
294,12.4,1
283.6,12.6,1
290.1,12.5,1
388.8,13,1
298,13.2,1
342.2,13.3,1
275.5,13.5,1
291.1,13.5,1
352.3,13.24,1
378.6,13.5,1
342.4,13.6,1
514.1,13.78,1
333.5,13.78,1
281.3,13.5,1
280.9,13.64,1
264,14.1,1
350.1,14.32,1
644.6,15,1
545,15.5,1
494.4,15.78,1
728.6,16.94,1
558.3,16.8,1
491.8,17.1,1
547.5,17.5,1
355.3,17.2,1
211.5,17.1,1
133.6,16.8,1
155.7,16.4,1
163.4,16.42,1
145.2,16.5,1
196.8,16.6,1
237.1,16.96,1
185.9,17.2,1
245.6,17.1,1
426.4,17.6,1
300.2,18.1,1
279,17.82,1
308.8,17.8,1
302.3,17.5,1
298,17.76,1
632.9,18.4,1
350.3,17.9,1
390.3,19.06,1
788.9,18.9,1
232.1,18.28,1
306.8,18.06,1
318.1,17.9,1
206.6,17.7,1
135.4,17.64,1
89.8,17.3,1
172.6,17.3,1
83.5,17.4,1
48.8,17.48,1
77.4,16.9,1
55.53,16.2,1
36.35,15.68,1
8.06,15.32,1
31.22,14.56,1
29.5,13.9,1
12.48,13.6,1
17.74,13.3,1
20.07,13.3,1
23.51,13.2,1
4.52,13.2,1
0.1,9.8,1
0.08,9.86,1
2.26,9.8,1
12.3,9.9,1
13.87,9.7,1
19.87,9.9,1
33.12,9.9,1
29.56,9.8,1
35.37,9.7,1
34.93,9.8,1
44.65,9.8,1
43.65,9.9,1
32.62,9.9,1
89.8,9.8,1
111.3,10,1
93.3,10.2,1
75.72,10.4,1
93.7,10.2,1
107.8,10.3,1
126.6,10.3,1
162.9,10.4,1
135.5,10.5,1
140.4,10.5,1
168.5,10.7,1
167.4,10.82,1
164.8,10.86,1
134.5,10.7,1
120.5,10.5,1
122.1,10.5,1
176,10.52,1
276.8,10.66,1
254.7,10.84,1
232.4,10.8,1
181.9,10.62,1
136.4,10.3,1
182.6,10.5,1
153.1,10.7,1
163.6,10.7,1
147.2,10.5,1
105.3,10.4,1
191.2,10.5,1
174.1,10.5,1
361,10.8,1
377.4,11.1,1
177.1,11.1,1
240.7,11.1,1
438.2,11.5,1
275.3,11.7,1
282.3,11.76,1
329.8,11.7,1
802,12.24,1
265.9,12.5,1
440.9,12.8,1
499,12.5,1
229.4,12.5,1
471.8,12.42,1
269.4,12.7,1
177.5,12.4,1
134,12.3,1
528.2,12.38,1
204.8,12.9,1
116.6,12.3,1
100.9,11.9,1
92.1,12,1
173.8,12,1
136.7,12.36,1
105,12.6,1
64.98,12.6,1
185.9,12.62,1
50.74,12.82,1
34.44,12.4,1
24.81,12.3,1
20.54,12.3,1
13.67,12.3,1
1.67,12.16,1
3.18,9.6,1
4.53,9.7,1
14.82,9.8,1
26.09,9.8,1
53.66,10,1
86.9,10.1,1
106.9,10.3,1
136.1,10.5,1
136.7,10.7,1
89.8,10.8,1
94.1,10.8,1
114.6,10.8,1
133.3,10.9,1
150.8,11.1,1
156.6,11.2,1
179.7,11.4,1
229.2,11.5,1
226.2,11.7,1
224.3,11.86,1
184.7,11.9,1
279.1,12.1,1
359.5,12.46,1
351.1,12.8,1
332.2,13,1
685.5,13.5,1
803,14,1
505.6,14.76,1
286,14.4,1
516,14.94,1
694.1,13.76,1
660.1,14.3,1
305,13.78,1
215.8,13.6,1
188.2,13.5,1
191.4,13.78,1
147.7,13.5,1
515.3,13,1
677.2,13.7,1
482.6,14.06,1
407.6,15.1,1
311.5,15.8,1
567.1,15.62,1
352.1,16,1
915,16.78,1
489,17.24,1
866,17.2,1
972,17.96,1
416.4,17.26,1
958,17.78,1
277.9,17.3,1
273.5,16.8,1
953,16.92,1
222.1,16.8,1
420.3,16.54,1
251.8,16.66,1
200.1,16.3,1
176,15.88,1
169.6,15.5,1
163.2,14.76,1
125.2,14.2,1
124.5,13.9,1
223.4,14.2,1
191.3,14.66,1
146.6,14.8,1
131,14.88,1
156.8,14.96,1
102.2,15,1
75.56,14.9,1
42.84,14.8,1
32.21,14.6,1
16.39,14.5,1
25.03,14.3,1
16.75,14.2,1
5.19,14,1
1.02,11.1,1
1.13,11.1,1
10.18,11.2,1
19.76,11.3,1
31.3,11.68,1
39.45,11.8,1
40.25,11.9,1
61.48,12.08,1
103.7,12.34,1
143.3,12.7,1
143.3,12.96,1
141.9,13.04,1
189.7,13.2,1
228.5,13.5,1
219.8,13.76,1
254.7,14,1
266.9,14.3,1
267,14.6,1
269.5,14.4,1
637.4,15.28,1
364.7,16.06,1
575,15.7,1
494.8,15.74,1
792.3,16.2,1
342.5,16.4,1
757.8,16.92,1
826,17.56,1
681,17.9,1
672.5,17.8,1
760.9,18.1,1
808,18.1,1
660,18.6,1
724.2,18.22,1
366.1,18.9,1
857,19,1
906,18.52,1
917,19.42,1
718.5,18.84,1
827,19.24,1
828,19.6,1
738.9,19.7,1
903,20.14,1
901,19.9,1
648,20.36,1
238.5,20,1
361.1,19.88,1
328.1,19.5,1
303.1,19.16,1
355.5,19.6,1
347.8,19.8,1
646.6,20,1
448.9,19.26,1
559,19.3,1
215.4,19.66,1
331.9,19.46,1
321.2,19.8,1
306.4,19.5,1
261.4,19.7,1
419.5,19.72,1
230.5,20,1
233.8,19.4,1
275.9,19.7,1
193.4,19.6,1
161,19.5,1
157,19.4,1
113,19.26,1
89.1,19.1,1
93.8,19,1
75.7,18.8,1
50.25,18.7,1
34.37,18.46,1
17.55,18.3,1
20.8,18.1,1
5.83,18,1
4.17,17.8,1
0.81,17.7,1
1.58,13.08,1
4.66,12.9,1
11.94,12.9,1
16.68,13,1
20.52,13.2,1
35.84,13.2,1
41.13,13.3,1
53.39,13.5,1
33.98,13.74,1
46.82,13.8,1
39.02,13.7,1
38.8,13.6,1
24.66,13.6,1
34.59,13.5,1
43.42,13.3,1
32.11,13.2,1
24.13,13.1,1
31.2,12.8,1
45.75,12.7,1
47.42,12.68,1
53.12,12.7,1
43.85,12.68,1
42.36,12.6,1
34.92,12.5,1
28.87,12.5,1
28.78,12.4,1
30.96,12.4,1
26.39,12.4,1
35.87,12.4,1
44.35,12.3,1
63.79,12.26,1
63.31,12.22,1
74.15,12.3,1
77.46,12.4,1
98.5,12.4,1
93.4,12.46,1
62.08,12.5,1
79.21,12.5,1
76.99,12.5,1
73.65,12.5,1
59.33,12.4,1
69.55,12.32,1
68.65,12.4,1
74.87,12.4,1
79.06,12.3,1
86.7,12.3,1
73.14,12.3,1
86.5,12.32,1
78.21,12.4,1
95.8,12.3,1
76.44,12.3,1
46.98,12.3,1
40.99,12.2,1
30.56,12.1,1
33.4,12.02,1
36.47,12,1
43.73,12,1
32,12,1
31.34,11.9,1
24.32,11.8,1
20.4,11.8,1
32.1,11.7,1
17.63,11.7,1
45.2,11.7,1
15.59,11.7,1
19.81,11.7,1
19.67,11.7,1
15.9,11.7,1
4.72,11.6,1
3.63,11.5,1
5.36,11.5,1
6.17,11.4,1
1.94,11.3,1
0.8,11.3,1
0.5,11.3,1
4.92,7.5,1
6.24,7.4,1
39.17,7.2,1
69,7.4,1
101.4,7.68,1
124.6,7.9,1
160.8,8.1,1
198.6,8.68,1
233,9.18,1
268.6,9.5,1
302.7,9.9,1
340.7,10.2,1
368.4,10.7,1
427.5,10.66,1
447,11.1,1
488.2,11.54,1
407.7,11.64,1
553.5,12.3,1
250.1,12.3,1
324.9,12.4,1
568.2,12.84,1
568.2,12.5,1
721.4,13.12,1
616.4,13.38,1
862,13.96,1
243.9,13.6,1
930,13.96,1
937,15.08,1
200.9,14.62,1
921,14.78,1
919,15.06,1
919,15.52,1
840,14.88,1
947,15.58,1
940,16,1
944,15.58,1
265.9,16,1
731.1,15.66,1
244.3,15.64,1
880,16.4,1
803,16.8,1
865,16.66,1
375.6,16.8,1
738.6,15.88,1
736.1,16.62,1
722.1,16.74,1
736.5,16.58,1
724.2,16.78,1
764.5,17,1
241.5,17.26,1
214.6,16.86,1
630.2,16.16,1
619.9,16.6,1
601.2,16.64,1
478,16.82,1
420.4,16.8,1
305.9,16.3,1
307.6,16.04,1
418.3,16.72,1
186.7,16.36,1
202.7,15.9,1
197.3,15.7,1
210.4,15.7,1
242,15.74,1
349.3,15.8,1
315.3,16.24,1
188.9,16,1
215,15.9,1
151.2,15.78,1
160.9,15.5,1
112.8,15.2,1
47.7,14.7,1
57.53,14.2,1
34.17,13.9,1
7.29,13.44,1
1.64,7.58,1
2.61,7.5,1
5.77,7.54,1
17.26,7.6,1
21.67,7.6,1
29.02,7.7,1
51,8,1
109.3,8.44,1
131.1,8.9,1
124.7,9.4,1
149.9,9.7,1
336.5,10.1,1
346.8,10.56,1
308.7,11.18,1
191,11.1,1
228.1,11,1
215,11.3,1
284.2,11.4,1
315.2,11.66,1
261.4,11.78,1
401.6,11.8,1
310.6,12.1,1
444.1,12.36,1
379.7,12.6,1
488.1,13.06,1
371.5,12.98,1
264.6,12.9,1
339.5,12.8,1
257.7,13.2,1
188.7,12.8,1
178.6,12.6,1
193.6,12.5,1
186.3,12.68,1
200,12.7,1
292.1,13.06,1
165.5,12.82,1
174.3,12.7,1
227.7,13.1,1
290.9,13.3,1
259.3,13.5,1
187,13.4,1
251.7,13.5,1
203.1,13.5,1
217,13.6,1
177.9,13.7,1
165.9,13.64,1
152.5,13.8,1
177.2,13.82,1
250.7,14.18,1
459.1,14.46,1
454.5,14.9,1
256.1,14.88,1
237,14.6,1
169.7,14.28,1
228.7,10.84,1
194.6,10.1,1
88,9.8,1
116.7,9.4,1
48.63,9.2,1
31.4,9,1
20.42,8.34,1
19.52,7.9,1
11.46,7.62,1
13.41,7.5,1
17.62,7.5,1
17.33,7.48,1
17.65,7.52,1
22.14,7.48,1
17.26,7.4,1
17.2,7.4,1
18.76,7.4,1
12.22,7.32,1
14.31,7.3,1
8.6,7.3,1
12.03,7.4,1
13.5,7.3,1
0.82,6.12,1
1.4,6.1,1
15,6.2,1
26.24,6.4,1
32.6,6.4,1
29.04,6.88,1
31.1,6.9,1
20.24,6.9,1
16.08,6.9,1
11.15,6.7,1
30.8,6.7,1
23.74,6.72,1
19.92,6.8,1
34.25,6.8,1
74.67,6.9,1
107.1,7,1
38.36,7.1,1
65.91,7.1,1
156.3,7.3,1
299,7.7,1
234.1,8.1,1
214.9,7.98,1
258.1,8,1
398.7,8.5,1
339.2,8.68,1
500.6,9.2,1
217.2,9.06,1
300.9,8.9,1
151.6,9.1,1
79.02,9,1
68.77,8.8,1
299.3,8.6,1
261,9.24,1
132.7,9,1
344.8,9.1,1
847,10.26,1
264.9,10.6,1
293.4,10.6,1
348,10.92,1
717.3,11.7,1
835,11.9,1
1115,12.84,1
1152,13.2,1
551.6,13.54,1
572.8,12.9,1
438.5,13.06,1
452.9,12.9,1
331.8,12.6,1
328,12.6,1
280.3,12.5,1
161.8,12.3,1
93.2,11.9,1
67.55,11.8,1
69.92,10.9,1
16.85,10.48,1
28.3,7.94,1
26.57,7.6,1
36.3,7.5,1
33.86,7.66,1
61.93,7.5,1
136.6,8,1
132,8.46,1
124.7,8.6,1
153.1,8.7,1
98.3,8.9,1
73.92,9,1
78.09,8.9,1
83.1,9,1
49.03,9.3,1
46.64,9.3,1
67.54,9.3,1
54.1,9.2,1
36.12,9.1,1
21.73,9,1
11.02,8.98,1
3.31,8.8,1
1.9,6.3,1
3.56,6.3,1
9.72,5.8,1
59.63,6.1,1
97.3,6.5,1
124.7,6.7,1
149.3,6.9,1
181.8,7.48,1
219.4,8,1
254.3,8.64,1
289.2,8.9,1
316.1,9.6,1
357.7,10,1
391.5,10.4,1
426.1,10.5,1
466.2,10.72,1
265.8,10.86,1
558.4,11.36,1
670.4,11.1,1
790.4,11.4,1
712.7,11.1,1
636,11.6,1
801,11.78,1
399.8,12.92,1
833,12.52,1
791.8,12.36,1
806,13.3,1
722.7,12.62,1
839,13.6,1
574.8,13.5,1
918,13.58,1
1006,14.18,1
220.5,14.76,1
957,13.7,1
570.1,14.64,1
199,13.14,1
959,13.8,1
1129,14.88,1
762.9,14.4,1
297,14.76,1
745.7,14.3,1
317,14.28,1
240.6,14.94,1
973,14.46,1
257.1,15.58,1
1001,15.6,1
910,15.52,1
928,15.5,1
668.2,15.28,1
851,14.88,1
778.1,15.46,1
756.3,15.4,1
723.4,15.66,1
699.7,15.6,1
670.6,16.08,1
650.2,15.84,1
620.4,16.2,1
591.1,15.8,1
561.1,15.86,1
530,15.9,1
502.8,15.6,1
470.5,15.92,1
436.8,16.1,1
406.7,15.9,1
372.3,16,1
336.2,15.9,1
304.5,15.9,1
270,15.7,1
236.4,15.7,1
203.2,15.5,1
172.5,15.4,1
137.9,15.1,1
104.9,15.1,1
72.19,15,1
40.36,14.62,1
15.88,14.36,1
1.88,13.98,1
2.82,7.7,1
6.75,7.7,1
20.82,7.7,1
36.35,7.7,1
54.22,7.9,1
79.59,8.1,1
115.2,8.7,1
140,9.2,1
183.6,9.76,1
240.4,10.38,1
308.7,11.1,1
325.8,11.74,1
303.4,12.24,1
305.2,12.6,1
426.8,12.74,1
504.9,13.38,1
463.5,13.52,1
511.3,13.82,1
418.3,13.72,1
563.2,14.3,1
477.3,14.38,1
620.4,14.46,1
677.6,15.18,1
648.2,15.88,1
681.7,15.62,1
739.1,16.76,1
726.7,16.8,1
579.9,16.5,1
712.9,16,1
657.7,15.76,1
658.7,16.8,1
714.1,16.9,1
667.9,16.9,1
643.8,16.38,1
760.1,16.8,1
466.5,16.64,1
889,17.66,1
401.9,17.32,1
852,17.04,1
804,17.9,1
632.7,17.7,1
726.6,17.3,1
675.6,16.7,1
803,17.38,1
820,17.84,1
937,18.54,1
910,18.18,1
786,18.48,1
484,18.3,1
273.4,17.6,1
828,18,1
758.6,18.38,1
728.2,18.28,1
675.5,18.9,1
627.5,18.28,1
657.9,18.34,1
619.7,18.8,1
580.7,18.94,1
547.3,18.36,1
534.2,18.18,1
490.4,19.26,1
444.1,18.66,1
364.3,18.7,1
311.2,18.5,1
275.9,18.1,1
209,17.92,1
221.7,17.8,1
173.6,17.5,1
201.6,17.58,1
185.7,17.7,1
160.4,17.6,1
85.1,17.7,1
96.3,17.66,1
45.52,17.48,1
32.84,16.82,1
8.34,16.14,1
1.9,8.44,1
2.19,8.6,1
13.49,8.8,1
18.6,9,1
23.31,9.06,1
22.23,9.2,1
47.44,9.5,1
39.2,9.7,1
31.11,9.9,1
33.65,10,1
39.6,10.1,1
27.89,10.2,1
53.44,10.2,1
49.81,10.4,1
59.58,10.3,1
42.45,10.2,1
62.09,10,1
94.9,9.9,1
109.7,9.9,1
92.4,10,1
164.3,10,1
172.1,10.12,1
244.8,10.3,1
301.3,10.5,1
440,11.04,1
333.4,11.62,1
646.3,11.72,1
410,12.5,1
462.5,12.4,1
566.9,13.16,1
597.9,13.2,1
603,13.84,1
516.9,14.06,1
441.5,14.2,1
372.3,13.8,1
343.8,14,1
349.9,13.8,1
552.6,13.78,1
493.7,14.76,1
559.8,14.56,1
550.9,14.64,1
607.7,15.5,1
430.2,15.62,1
1044,15.98,1
969,16.66,1
545.8,15.88,1
744.7,15.7,1
508.8,16.3,1
556.7,15.4,1
622.4,16.44,1
824,16.4,1
437.4,16.3,1
820,16.96,1
356.8,16.8,1
397.8,15.86,1
915,16.66,1
705.2,16.84,1
732.4,16.62,1
736.6,16.34,1
149.3,16.12,1
138.9,14.9,1
101.4,14.9,1
185.8,14.42,1
276,14.6,1
381,14.46,1
470.8,15.3,1
375.5,15.1,1
101.9,15.4,1
271.1,15.1,1
241.4,14.8,1
172.1,14.3,1
146.8,14.1,1
113.8,14.1,1
26.82,14.1,1
21.06,13.6,1
16.48,13.1,1
3.52,12.9,1
5.03,3.1,1
5.09,3.4,1
36.21,3.6,1
70.48,3.7,1
110.4,4.26,1
136.3,5.3,1
167.2,5.9,1
199.7,6.74,1
232,7.44,1
264.9,8.9,1
298.5,9.7,1
332.3,10.12,1
366.7,10.7,1
400.8,11.4,1
434.3,11.7,1
466.7,11.62,1
498.8,11.8,1
529.7,11.92,1
560,12.9,1
588,13.04,1
614.7,13.44,1
643,13.5,1
669.4,14.1,1
693.8,14,1
716.6,14.36,1
739.6,14.24,1
759.7,14.64,1
779.4,15.1,1
798.3,15.44,1
813,15.58,1
830,15.46,1
842,16,1
852,16,1
864,16.4,1
874,16.28,1
877,16.24,1
886,16.8,1
886,17.66,1
886,17.6,1
889,17.4,1
874,18,1
882,18.04,1
873,18.44,1
867,18.72,1
853,18.7,1
845,19.42,1
835,19.2,1
815,19.54,1
800,19.4,1
782.5,19.4,1
765.8,19.7,1
745.7,19.68,1
722.5,20.08,1
699.1,19.9,1
674.4,20.16,1
646,20.2,1
618.5,20.14,1
591.3,20,1
561.6,20.4,1
535.2,20.6,1
493.3,20.64,1
479.4,20.8,1
442.9,20.68,1
406.6,20.7,1
354.5,20.7,1
331.5,20.7,1
307.8,20.42,1
267.1,20.4,1
242,20.5,1
207.1,20.4,1
168.6,20.1,1
141.6,20.1,1
118.2,20,1
62.65,19.8,1
48.85,19.7,1
17.95,19.3,1
4.17,19.08,1
5.33,7.3,1
4.41,7.5,1
35.94,7.86,1
69.38,8.2,1
96.9,8.52,1
132.5,9.1,1
165.1,9.9,1
206.2,10.4,1
240,11.24,1
263.3,12.04,1
298.1,12.56,1
332.9,13.2,1
365,13.7,1
397.1,14.1,1
429,14.2,1
461.4,14.8,1
493,15.3,1
523.9,15.88,1
554.5,15.88,1
583.4,16.72,1
611.3,17.1,1
633.2,17.42,1
664.7,17.64,1
687.4,18.4,1
711,18.7,1
734.9,18.98,1
755.2,19.06,1
776.7,19.3,1
794.2,19.84,1
810,19.84,1
825,20.38,1
838,20.2,1
850,20.88,1
861,20.8,1
869,21.2,1
874,21.8,1
879,21.4,1
881,21.8,1
882,22.6,1
881,23.4,1
879,23.64,1
875,23.42,1
867,23.9,1
860,24.54,1
851,24.6,1
839,24.58,1
825,25.62,1
812,26.14,1
797.6,26,1
779,25.86,1
759.6,26.24,1
742.1,25.68,1
722.3,26.08,1
700.3,25.56,1
674.7,25.76,1
641.4,25.74,1
629.1,25.9,1
595.9,25.8,1
538.1,25.64,1
542.6,25.4,1
494.3,25.62,1
473,25.7,1
425,25.7,1
348.3,25.62,1
357.2,25.4,1
333.4,25.3,1
262.1,25.28,1
242.6,25.2,1
269.5,25.32,1
251,25.2,1
221,25.2,1
188,25.02,1
152.3,24.9,1
122.4,24.7,1
85.2,24.5,1
48.7,24.22,1
17.59,23.84,1
3.84,12,1
2.55,11.9,1
21.94,12,1
51.41,12.4,1
84.9,12.84,1
113.1,13.2,1
143.6,13.92,1
178.3,14.7,1
