ghi,air_temp,,
614.6,15.12,1192,1
495.1,15.98,1193,1
693.9,16.32,1194,1
1153,18.7,1195,1
907,19.18,1196,1
747.3,18.52,1197,1
474.3,19.32,1198,1
349.1,19.2,1199,1
112.2,18.3,1200,1
7.22,7.76,1201,1
167.9,10.9,1202,1
367.7,12.8,1203,1
560.7,15.4,1204,1
725.3,17,1205,1
853,17.9,1206,1
926,19.82,1207,1
942,21.72,1208,1
900,22.16,1209,1
791.8,23.3,1210,1
634.6,23.8,1211,1
454.5,23.7,1212,1
257,23.6,1213,1
67.56,22.66,1214,1
14.5,10.1,1215,1
225.3,13,1216,1
432.4,15.16,1217,1
621.8,18.4,1218,1
776.6,21.1,1219,1
899,24,1220,1
959,24.78,1221,1
953,26.32,1222,1
887,27.76,1223,1
767.3,28.2,1224,1
601.8,28.7,1225,1
410.4,28.8,1226,1
190.2,27.66,1227,1
30.09,24.4,1228,1
68.84,12.7,1229,1
250.3,17.72,1230,1
470.3,23.08,1231,1
649.1,25.14,1232,1
801,27.88,1233,1
919,28.74,1234,1
956,31,1235,1
949,31.92,1236,1
875,32.6,1237,1
738.7,32.06,1238,1
555.8,31.76,1239,1
355.4,30.7,1240,1
114.4,29.3,1241,1
11.65,26.44,1242,1
111.4,15.1,1243,1
263.9,19.54,1244,1
508.4,24,1245,1
553.3,26.1,1246,1
774.2,28.3,1247,1
932,29.96,1248,1
939,31.42,1249,1
919,32.9,1250,1
813,33.8,1251,1
759.3,34.26,1252,1
330.1,33.16,1253,1
162.1,32.38,1254,1
146.5,32.1,1255,1
2.29,27.5,1256,1
142.1,13.8,1257,1
372.7,19.12,1258,1
550.4,21.5,1259,1
659.7,24.8,1260,1
778,26.4,1261,1
965,27.5,1262,1
660.8,29.68,1263,1
739.8,29.9,1264,1
821,30.52,1265,1
693.6,31.06,1266,1
479.4,30.36,1267,1
334.1,30.16,1268,1
144.5,27.96,1269,1
2.36,11.54,1270,1
142.4,12.8,1271,1
337.9,16.1,1272,1
545.7,17.4,1273,1
698.8,18.94,1274,1
840,20.2,1275,1
939,22.72,1276,1
967,23.4,1277,1
925,23.7,1278,1
820,23.78,1279,1
679.6,23.5,1280,1
485.4,23,1281,1
315.3,21.9,1282,1
90.4,19.22,1283,1
5.07,10.16,1284,1
91.9,11.1,1285,1
251.6,12.9,1286,1
602.1,15.16,1287,1
695.2,17.16,1288,1
747.4,18.58,1289,1
702.5,19.62,1290,1
929,21.12,1291,1
832,22,1292,1
677.3,23.62,1293,1
544.2,23.64,1294,1
327.4,22.9,1295,1
300.4,22.1,1296,1
57.68,20.32,1297,1
9.87,11.1,1298,1
109.1,11.6,1299,1
252.7,13.04,1300,1
368.4,14.68,1301,1
759.2,16.74,1302,1
1010,17.8,1303,1
1054,19.88,1304,1
280.1,20.04,1305,1
272,19.8,1306,1
289.3,21.78,1307,1
234.4,21.74,1308,1
587.4,21.7,1309,1
79.94,18.5,1310,1
19.1,17.5,1311,1
1.41,11.1,1312,1
95.6,11.5,1313,1
192,12.5,1314,1
160.4,13.6,1315,1
317.9,16.9,1316,1
171.7,17.4,1317,1
1017,20.2,1318,1
1037,20.16,1319,1
921,21.2,1320,1
827,22.56,1321,1
675.6,23.34,1322,1
497.5,22.8,1323,1
295,22.8,1324,1
105.4,22.4,1325,1
7.63,9.2,1326,1
140.9,10,1327,1
348,12.4,1328,1
538.8,14.7,1329,1
717.6,16.4,1330,1
853,18.14,1331,1
930,19.8,1332,1
964,21.42,1333,1
917,23.18,1334,1
857,24.42,1335,1
711.3,23.86,1336,1
518,23.4,1337,1
250.2,23.1,1338,1
57.96,20.72,1339,1
4.71,12.3,1340,1
57.08,11.5,1341,1
112.9,12.4,1342,1
240,14.7,1343,1
598.4,16.54,1344,1
644.8,18.7,1345,1
807,19.42,1346,1
511.8,20.2,1347,1
434.3,20.2,1348,1
256.8,19.16,1349,1
255.2,19.34,1350,1
153.5,19.3,1351,1
209.5,19.14,1352,1
76.42,18.1,1353,1
0.28,16.9,1354,1
84.1,13.4,1355,1
151.3,14,1356,1
326.6,15.5,1357,1
862,17.34,1358,1
931,18.62,1359,1
426.3,20.78,1360,1
1025,22.04,1361,1
1092,23.4,1362,1
954,22.88,1363,1
654.4,24.4,1364,1
543.5,23.36,1365,1
353.4,23.7,1366,1
155,21.5,1367,1
5.96,18.3,1368,1
101.3,8.6,1369,1
298,12.2,1370,1
499.3,14.8,1371,1
681,15.88,1372,1
831,17.3,1373,1
931,18.84,1374,1
978,20.18,1375,1
969,21,1376,1
883,21.18,1377,1
792.9,22.42,1378,1
607.1,21.86,1379,1
396.3,21.3,1380,1
199.4,20.7,1381,1
25.83,19.5,1382,1
85.6,11.6,1383,1
281.6,14.2,1384,1
484.9,15.92,1385,1
672.1,17.84,1386,1
824,19.58,1387,1
937,21.2,1388,1
985,22.48,1389,1
980,23.5,1390,1
913,24.48,1391,1
789.8,25.68,1392,1
626.2,26.12,1393,1
435.2,26.2,1394,1
239.2,26,1395,1
50.74,24.5,1396,1
21.16,12.28,1397,1
232.7,13.82,1398,1
435.6,18.26,1399,1
625.5,21.54,1400,1
787.2,23.94,1401,1
907,25.32,1402,1
974,27.2,1403,1
990,28.62,1404,1
938,29.68,1405,1
862,30.12,1406,1
658.5,30.74,1407,1
474.6,30.3,1408,1
283.8,30.08,1409,1
57.93,28.02,1410,1
4.43,10.72,1411,1
150.6,15.64,1412,1
419.7,21.14,1413,1
542.1,23.1,1414,1
729.7,25.9,1415,1
890,28,1416,1
957,30.3,1417,1
976,31.64,1418,1
939,32.34,1419,1
841,33.02,1420,1
680.4,33.54,1421,1
477.6,33.78,1422,1
321.4,33.82,1423,1
132.4,32.7,1424,1
3.84,16.4,1425,1
120.6,17.2,1426,1
319.2,21.84,1427,1
515.6,25,1428,1
693.3,27.7,1429,1
839,29.58,1430,1
931,31.5,1431,1
967,32.76,1432,1
940,33.72,1433,1
858,34.9,1434,1
738.2,34.92,1435,1
567.6,35.52,1436,1
289.3,35,1437,1
183.5,34.54,1438,1
14.67,31.14,1439,1
68.21,17,1440,1
239.2,20.88,1441,1
487.6,26.62,1442,1
677.1,28.2,1443,1
854,31.16,1444,1
925,33.44,1445,1
982,34.5,1446,1
960,36.14,1447,1
754,35.82,1448,1
726.6,35.6,1449,1
400.5,35,1450,1
359.6,33.9,1451,1
205,33.4,1452,1
31.37,30.72,1453,1
20.33,14.3,1454,1
142.2,16.72,1455,1
352,19.9,1456,1
605.1,24,1457,1
629.5,25.68,1458,1
919,28.2,1459,1
1017,29.4,1460,1
1005,31.46,1461,1
958,32.2,1462,1
844,32.3,1463,1
698,33.3,1464,1
510.4,33,1465,1
316.9,31.9,1466,1
107.5,28.64,1467,1
1.64,13.9,1468,1
50.95,14.74,1469,1
377.5,16.9,1470,1
249.3,17,1471,1
508.8,19.04,1472,1
709.1,22,1473,1
1100,23.7,1474,1
668.6,24.76,1475,1
943,26.04,1476,1
776.3,27.42,1477,1
624.2,27.94,1478,1
401.8,27.36,1479,1
434.7,27.5,1480,1
218.7,25.16,1481,1
25.49,22.1,1482,1
41.41,12.8,1483,1
185.8,14.5,1484,1
306,16.5,1485,1
423.6,17.72,1486,1
811,20.1,1487,1
909,21.3,1488,1
967,23.42,1489,1
967,24.7,1490,1
916,25.9,1491,1
806,26.2,1492,1
711.4,26.3,1493,1
465.7,25.76,1494,1
260.7,24.4,1495,1
76.99,21.8,1496,1
2.91,11.9,1497,1
85.7,12.8,1498,1
158,13.4,1499,1
269.9,14.64,1500,1
661.4,16.26,1501,1
779.5,18.7,1502,1
805,20.3,1503,1
973,22.04,1504,1
940,23.32,1505,1
854,24.66,1506,1
438.8,23.7,1507,1
304.2,21.4,1508,1
90.4,20.04,1509,1
165,18.7,1510,1
13.32,17.04,1511,1
34.45,10.9,1512,1
85,12.2,1513,1
341.6,14.04,1514,1
162.2,15.2,1515,1
307.4,16.4,1516,1
309.2,16.9,1517,1
590.2,18.54,1518,1
431.2,19.8,1519,1
975,20.32,1520,1
408,21.28,1521,1
300.8,22.1,1522,1
188.3,22,1523,1
122.3,20.3,1524,1
77.88,17.52,1525,1
11.24,9.1,1526,1
178.5,12.5,1527,1
374.7,15.42,1528,1
564.5,17.32,1529,1
732.5,19.86,1530,1
858,21.66,1531,1
931,23,1532,1
956,24.48,1533,1
929,25.42,1534,1
828,27.7,1535,1
699.6,28.3,1536,1
527.6,28.8,1537,1
494.3,28.48,1538,1
34.99,23.78,1539,1
4.14,21.3,1540,1
98.1,12.2,1541,1
285.3,14.9,1542,1
484,17.12,1543,1
660.6,19.7,1544,1
815,21.76,1545,1
915,23.94,1546,1
965,26.7,1547,1
957,27.88,1548,1
897,28.88,1549,1
789.3,30.68,1550,1
599.5,30.22,1551,1
411.9,30.6,1552,1
232.5,30.2,1553,1
60.85,28,1554,1
20.52,12.5,1555,1
167,13.8,1556,1
426.1,16.4,1557,1
681.9,19.6,1558,1
759.5,22.04,1559,1
874,25.14,1560,1
961,27.16,1561,1
990,28.82,1562,1
926,30.12,1563,1
832,32.76,1564,1
704.8,33.18,1565,1
510.8,32.84,1566,1
306.8,32.44,1567,1
186.2,31.06,1568,1
4.71,27.54,1569,1
65.3,15.6,1570,1
243.7,19,1571,1
463,21.24,1572,1
636.3,24.16,1573,1
737.2,26.9,1574,1
880,28.36,1575,1
953,29.9,1576,1
949,31.08,1577,1
884,32.4,1578,1
774.2,33.46,1579,1
616.9,32.8,1580,1
410.4,33.4,1581,1
251.6,33.06,1582,1
78.08,30,1583,1
10.64,14.3,1584,1
177.9,16.86,1585,1
261.6,19.6,1586,1
528.9,23.58,1587,1
762.9,25.92,1588,1
866,28.32,1589,1
940,29.88,1590,1
970,31.92,1591,1
944,33.8,1592,1
873,35.58,1593,1
735.4,35.3,1594,1
592.8,35.9,1595,1
385.7,35.5,1596,1
181.6,34.7,1597,1
18.31,30.34,1598,1
72.26,15.8,1599,1
253,18.94,1600,1
446.7,22.1,1601,1
629,25.2,1602,1
795,27.52,1603,1
910,29.38,1604,1
976,31.14,1605,1
981,32.6,1606,1
923,33.34,1607,1
813,34.2,1608,1
661.6,33.84,1609,1
484.5,34.76,1610,1
294.7,33.2,1611,1
112.9,29.76,1612,1
4.82,12.84,1613,1
146.1,15.2,1614,1
342.4,17.9,1615,1
535.7,19.68,1616,1
709.4,21.78,1617,1
851,24.2,1618,1
951,26.84,1619,1
993,28.3,1620,1
974,30.56,1621,1
902,31.34,1622,1
767.7,31.6,1623,1
607.2,31.14,1624,1
422.8,31.38,1625,1
225.6,31.4,1626,1
35.69,27.26,1627,1
25.94,9.46,1628,1
211.6,14.5,1629,1
416.1,17,1630,1
608.6,18.38,1631,1
783.6,20.5,1632,1
917,22.06,1633,1
1001,23.36,1634,1
1029,25.1,1635,1
982,25.4,1636,1
884,26,1637,1
744,25.9,1638,1
558.4,26.2,1639,1
370.4,26.1,1640,1
163.2,25.5,1641,1
8.64,23.88,1642,1
98.5,8.94,1643,1
282.5,13.82,1644,1
486.4,17.6,1645,1
670.4,20.18,1646,1
826,22.24,1647,1
938,25.16,1648,1
999,26.7,1649,1
1002,28.68,1650,1
936,28.94,1651,1
824,29.44,1652,1
663.3,29.9,1653,1
483.6,30,1654,1
294,29.8,1655,1
89.8,28.3,1656,1
11.26,11.48,1657,1
150.2,13.66,1658,1
294.8,16.7,1659,1
457.8,19.7,1660,1
653.2,22.78,1661,1
775.8,25.1,1662,1
877,27.18,1663,1
1006,26.32,1664,1
1101,29.2,1665,1
916,29.1,1666,1
784.2,28.72,1667,1
617.8,29.4,1668,1
435.4,28.2,1669,1
221.5,26.6,1670,1
42.44,23,1671,1
21.68,8.6,1672,1
195.2,10.7,1673,1
395.9,13.58,1674,1
586.2,15.72,1675,1
749.9,19.1,1676,1
887,21.6,1677,1
970,24.28,1678,1
988,27.02,1679,1
957,28.32,1680,1
870,29.84,1681,1
723.8,31,1682,1
552.4,31.02,1683,1
366,30.1,1684,1
169.9,29.6,1685,1
14.47,26.78,1686,1
78.94,12,1687,1
261,17,1688,1
460,20.1,1689,1
640.5,23.18,1690,1
801,26,1691,1
921,28,1692,1
989,30.08,1693,1
995,32.1,1694,1
945,32.8,1695,1
835,33.26,1696,1
680.1,33.7,1697,1
503,33.9,1698,1
309.2,32.68,1699,1
125.7,30.8,1700,1
3.84,12.5,1701,1
119.5,13.66,1702,1
311.8,17.1,1703,1
504,18.88,1704,1
678.6,20.96,1705,1
823,23.68,1706,1
929,25.3,1707,1
976,26.36,1708,1
967,27.8,1709,1
901,29.52,1710,1
781,28.68,1711,1
623.3,28.96,1712,1
443.3,27.64,1713,1
259.1,26,1714,1
77.89,22.9,1715,1
2.82,9.2,1716,1
67.62,10.8,1717,1
358.7,12.7,1718,1
548.5,15.94,1719,1
716.8,19.66,1720,1
856,21.8,1721,1
950,24.78,1722,1
988,26.4,1723,1
965,27.84,1724,1
881,29.5,1725,1
755.4,30.02,1726,1
587.5,31,1727,1
403.7,30.8,1728,1
215.7,29.9,1729,1
42.98,27.5,1730,1
21.41,11.76,1731,1
213.2,16.9,1732,1
408.3,19.08,1733,1
597,22.2,1734,1
762,25.1,1735,1
890,27.9,1736,1
968,29.5,1737,1
995,31.3,1738,1
961,33.42,1739,1
863,34.22,1740,1
725.3,34.96,1741,1
547.4,35.04,1742,1
356.1,35.2,1743,1
165,33.7,1744,1
16.17,30.1,1745,1
71.58,16,1746,1
247.3,19.5,1747,1
440.4,23.3,1748,1
620.1,26.06,1749,1
778.3,27.82,1750,1
897,30.38,1751,1
963,32.08,1752,1
969,34.12,1753,1
924,34.66,1754,1
821,35.78,1755,1
662.2,35.52,1756,1
493.1,35.9,1757,1
311.3,33.68,1758,1
131.2,31.62,1759,1
1.95,26.54,1760,1
99.6,15.94,1761,1
283.3,18.4,1762,1
475,20.4,1763,1
654.2,23.9,1764,1
801,25.4,1765,1
908,29,1766,1
962,30.4,1767,1
960,32.38,1768,1
902,33.08,1769,1
790.3,34.66,1770,1
634.1,34.66,1771,1
457,34,1772,1
269.7,33.58,1773,1
94.3,30.4,1774,1
5.53,13.2,1775,1
129.5,14.2,1776,1
319.2,16.8,1777,1
511.4,19.78,1778,1
686.5,23.14,1779,1
831,26.46,1780,1
931,29.8,1781,1
977,31.1,1782,1
970,33.3,1783,1
900,34.22,1784,1
774.3,35.84,1785,1
611.9,36.4,1786,1
435.7,36.6,1787,1
239.1,35.3,1788,1
65.18,32.9,1789,1
6.99,17.36,1790,1
162.4,19.74,1791,1
362.2,25.02,1792,1
551.4,27,1793,1
718.2,29.28,1794,1
856,32.66,1795,1
947,35,1796,1
983,37.3,1797,1
959,38.12,1798,1
879,39.2,1799,1
752,39.6,1800,1
584.5,39.4,1801,1
397.7,38.6,1802,1
211,37.9,1803,1
44.19,36.34,1804,1
18.69,18.3,1805,1
201.5,22.62,1806,1
393.5,26.14,1807,1
580.5,30.06,1808,1
745.1,34,1809,1
881,36.14,1810,1
969,37.48,1811,1
992,39.44,1812,1
957,40.54,1813,1
864,40.18,1814,1
732.4,40.16,1815,1
559.9,40.42,1816,1
375.2,39.7,1817,1
196.5,39,1818,1
23.59,36.7,1819,1
51.82,18.8,1820,1
225.4,22.3,1821,1
414.5,26.82,1822,1
599.2,29.56,1823,1
760.2,31.6,1824,1
885,34,1825,1
957,35.06,1826,1
974,36.32,1827,1
933,37.4,1828,1
844,38,1829,1
702.9,38.7,1830,1
529.7,38.9,1831,1
343.8,38.7,1832,1
155,31.14,1833,1
11.11,26.58,1834,1
81,14,1835,1
257,15.6,1836,1
450.2,17.76,1837,1
626.9,19.68,1838,1
780.9,21.78,1839,1
897,24.18,1840,1
960,25.92,1841,1
969,28.1,1842,1
917,28.8,1843,1
815,29.4,1844,1
673.6,30.34,1845,1
502.4,29.7,1846,1
316,27.8,1847,1
134.4,25.7,1848,1
2.26,21.38,1849,1
105.8,11.4,1850,1
237.5,13.74,1851,1
486,15.88,1852,1
664.6,17.5,1853,1
818,19.3,1854,1
930,22.04,1855,1
990,23.62,1856,1
996,26.52,1857,1
937,28.16,1858,1
830,29.1,1859,1
676.8,29.7,1860,1
496.3,28.98,1861,1
302.1,27.4,1862,1
119.5,24.26,1863,1
3.38,11.4,1864,1
128,12.1,1865,1
318.1,15.5,1866,1
509.2,18.4,1867,1
685.4,21.04,1868,1
832,23.9,1869,1
932,24.7,1870,1
992,25.9,1871,1
999,27.86,1872,1
929,28.46,1873,1
814,29.6,1874,1
655.8,29.28,1875,1
470.7,29.2,1876,1
275.6,29.1,1877,1
94.8,28.2,1878,1
7.42,12.4,1879,1
152.4,14.74,1880,1
342.4,19.28,1881,1
513,21.18,1882,1
734.1,22.94,1883,1
716.9,25.3,1884,1
685.2,26.9,1885,1
547.2,27.5,1886,1
623.6,28.3,1887,1
508.5,29.1,1888,1
496.4,28.98,1889,1
678,31.02,1890,1
448.8,30.84,1891,1
258.9,30,1892,1
76.6,27.9,1893,1
5.36,13.7,1894,1
95.2,14.3,1895,1
235.2,17.36,1896,1
546.6,19.2,1897,1
712.4,21.7,1898,1
847,23.02,1899,1
941,25.02,1900,1
984,26.66,1901,1
882,28.34,1902,1
818,28.92,1903,1
705.9,29.64,1904,1
565.8,29.1,1905,1
361.8,28.7,1906,1
132.9,26.24,1907,1
33.66,23.6,1908,1
11.26,12.3,1909,1
182,14,1910,1
368.6,15.8,1911,1
559.6,17.2,1912,1
720.6,19.64,1913,1
789.9,20.92,1914,1
888,22.54,1915,1
962,24.1,1916,1
958,25.74,1917,1
828,24.84,1918,1
696.2,26,1919,1
483.8,25.84,1920,1
346.2,24.6,1921,1
189.7,22.98,1922,1
38.48,20.66,1923,1
25.09,11.8,1924,1
203.1,15,1925,1
373.2,18.44,1926,1
578.2,19.3,1927,1
745.2,20.12,1928,1
881,21.5,1929,1
970,23.68,1930,1
989,24.98,1931,1
961,26.56,1932,1
873,27.3,1933,1
737.7,27.9,1934,1
576.7,27.78,1935,1
389.7,27.3,1936,1
205.1,26.9,1937,1
33.12,25.8,1938,1
58.71,15.2,1939,1
243.2,17.7,1940,1
438.5,20.36,1941,1
621.6,23.5,1942,1
785,25.16,1943,1
911,27.72,1944,1
986,29.1,1945,1
1004,30.66,1946,1
974,31.76,1947,1
881,32.2,1948,1
744.4,32.88,1949,1
562.8,33,1950,1
372.7,32.4,1951,1
184.4,32,1952,1
19.04,28.52,1953,1
76.54,13.5,1954,1
257.1,18.06,1955,1
452.5,23.4,1956,1
633.9,25.78,1957,1
788,27.6,1958,1
905,29.1,1959,1
977,31.3,1960,1
987,33.46,1961,1
952,33.9,1962,1
857,35.16,1963,1
715.4,35.12,1964,1
549.5,34.7,1965,1
139.4,32.86,1966,1
49.67,30.6,1967,1
6.06,27.8,1968,1
95.8,14.24,1969,1
277.6,18.7,1970,1
465.7,22.7,1971,1
647.4,25.34,1972,1
808,27.34,1973,1
926,30.4,1974,1
976,32.7,1975,1
985,34.66,1976,1
965,35.18,1977,1
802,35.5,1978,1
674.7,35.64,1979,1
474.7,35.4,1980,1
262.2,34.4,1981,1
81.2,31.46,1982,1
3.57,27.76,1983,1
122.8,15.74,1984,1
172.9,18.16,1985,1
490.3,20.72,1986,1
667.9,24.76,1987,1
821,26.86,1988,1
931,29.08,1989,1
991,30.8,1990,1
998,32.44,1991,1
941,33.7,1992,1
836,34.6,1993,1
701.3,33.2,1994,1
500.8,32.48,1995,1
321.1,31.5,1996,1
133.6,28.86,1997,1
5.21,24.72,1998,1
123.4,13,1999,1
328.5,16.8,2000,1
479,20.04,2001,1
685.3,22.74,2002,1
831,24.44,2003,1
935,27.42,2004,1
988,29.06,2005,1
979,30.7,2006,1
933,31.9,2007,1
822,33.84,2008,1
655.3,33.6,2009,1
474.5,33.68,2010,1
288.9,33.2,2011,1
110.1,28.9,2012,1
4.71,12.36,2013,1
124.6,13.9,2014,1
316.5,17,2015,1
507.5,18.7,2016,1
679.7,21.98,2017,1
830,25.12,2018,1
919,27.44,2019,1
980,30.26,2020,1
963,31.9,2021,1
876,34.08,2022,1
788.3,34.14,2023,1
635,34.9,2024,1
455.1,34.86,2025,1
262.5,33.4,2026,1
89.7,31.3,2027,1
8.39,17.8,2028,1
148.6,18.56,2029,1
336.9,21.28,2030,1
540.4,22.88,2031,1
686.2,25.66,2032,1
830,28.64,2033,1
926,30.02,2034,1
962,31.04,2035,1
952,32.7,2036,1
897,33.12,2037,1
766.7,34.2,2038,1
607.5,34.28,2039,1
425.4,32.7,2040,1
250,30.54,2041,1
76.14,27.98,2042,1
3.73,15.7,2043,1
167.5,17.5,2044,1
350.9,19.88,2045,1
530.2,21.2,2046,1
695.9,22.9,2047,1
832,25.7,2048,1
923,27,2049,1
981,28.4,2050,1
732.4,28.7,2051,1
685.4,29,2052,1
299.9,28.2,2053,1
175.6,25.4,2054,1
232.2,25.2,2055,1
152.2,24.62,2056,1
28,22.3,2057,1
6.21,16.4,2058,1
78.32,16.58,2059,1
173.2,16.84,2060,1
460.1,18,2061,1
723.2,20.76,2062,1
847,23.18,2063,1
933,24.8,2064,1
973,26.5,2065,1
944,27.2,2066,1
864,27.3,2067,1
730,27.6,2068,1
568.7,28.26,2069,1
396.3,26.92,2070,1
233.3,26.5,2071,1
30.89,23.9,2072,1
26.12,14.1,2073,1
117.9,15.82,2074,1
383.7,17.36,2075,1
582.2,19.94,2076,1
737.4,23.36,2077,1
857,26.12,2078,1
938,27.38,2079,1
963,29.26,2080,1
938,30.82,2081,1
848,31.64,2082,1
713.9,32.4,2083,1
549.4,31.56,2084,1
371,30.2,2085,1
191.4,29.2,2086,1
29.31,26.28,2087,1
57.25,14.3,2088,1
234.1,16.3,2089,1
414.8,18.2,2090,1
606.4,19.7,2091,1
765.8,22.46,2092,1
890,25.12,2093,1
966,27.36,2094,1
981,29.9,2095,1
947,31.22,2096,1
852,32.32,2097,1
711.9,33.5,2098,1
544.5,33.3,2099,1
360.4,33.66,2100,1
179.3,32.68,2101,1
16.29,28.28,2102,1
77.19,15.32,2103,1
250.2,19.8,2104,1
439.5,23,2105,1
618.6,24.98,2106,1
773.4,27.6,2107,1
894,30.84,2108,1
961,32.48,2109,1
973,33.3,2110,1
929,34.4,2111,1
826,35.7,2112,1
688.3,36.2,2113,1
516.1,36.62,2114,1
332.4,36.46,2115,1
156,35.3,2116,1
5.5,33.36,2117,1
102,19.7,2118,1
272.8,24.72,2119,1
460.3,28.3,2120,1
634.1,31.28,2121,1
787.6,32.86,2122,1
901,35.52,2123,1
961,37.08,2124,1
965,38.8,2125,1
915,39.5,2126,1
814,39.62,2127,1
673.2,40.22,2128,1
512.6,40.48,2129,1
316.1,39.86,2130,1
93.7,36,2131,1
3.79,31.42,2132,1
113.5,19.5,2133,1
246.2,21.3,2134,1
472.2,23.58,2135,1
648.4,26.66,2136,1
802,28.6,2137,1
908,30.68,2138,1
965,32.2,2139,1
962,35.06,2140,1
907,35,2141,1
796.4,36.16,2142,1
645.1,35.7,2143,1
471,35.72,2144,1
285.4,34.16,2145,1
108.2,31.2,2146,1
3.94,14.5,2147,1
131.9,14.7,2148,1
319.7,17.7,2149,1
505.3,19.5,2150,1
679.9,22.58,2151,1
822,26.2,2152,1
920,29.28,2153,1
966,31.44,2154,1
961,33.56,2155,1
891,34.4,2156,1
768.9,34.94,2157,1
618.2,35.7,2158,1
439.2,35.8,2159,1
254.7,34.1,2160,1
81.9,30.1,2161,1
4.54,16.2,2162,1
142.5,17.3,2163,1
328.3,19.58,2164,1
521.3,22.1,2165,1
695.6,24.74,2166,1
827,27.26,2167,1
917,28.5,2168,1
953,31.2,2169,1
941,32.58,2170,1
869,34.66,2171,1
740.4,35.74,2172,1
588.4,35.8,2173,1
408.8,35.3,2174,1
225.5,34.3,2175,1
54.9,31.32,2176,1
11.45,14.8,2177,1
203.6,19.72,2178,1
389.7,22.6,2179,1
572.5,26.12,2180,1
737.6,30.7,2181,1
870,32.9,2182,1
953,34.2,2183,1
975,34.98,2184,1
949,36.84,2185,1
867,37.14,2186,1
732.4,36.58,2187,1
572.3,37.26,2188,1
389,35.74,2189,1
204.1,34.76,2190,1
33.72,31.44,2191,1
56.72,15.8,2192,1
234.5,20.3,2193,1
427.8,22.6,2194,1
610.9,25.3,2195,1
771.5,28.1,2196,1
896,30.7,2197,1
950,33.7,2198,1
953,34.62,2199,1
927,36.4,2200,1
847,37.58,2201,1
704.5,37.2,2202,1
539.7,37.5,2203,1
358,37.12,2204,1
173.6,35.7,2205,1
7.86,31.46,2206,1
90.3,15.4,2207,1
267.7,20.74,2208,1
455.2,24.06,2209,1
631.8,26.28,2210,1
793.5,29.7,2211,1
904,32.32,2212,1
986,34.6,2213,1
969,36.54,2214,1
913,37.74,2215,1
810,38.48,2216,1
657.9,38.42,2217,1
475.7,38.3,2218,1
296.7,37.6,2219,1
114.6,35.2,2220,1
2.77,17.58,2221,1
38.46,19.3,2222,1
227.6,23.1,2223,1
452.3,24.7,2224,1
414.9,27.94,2225,1
201.3,28.4,2226,1
1233,31.18,2227,1
1039,33.24,2228,1
331.4,34.3,2229,1
375.5,35.54,2230,1
562.9,36.46,2231,1
260.2,35.6,2232,1
285.7,36.62,2233,1
101.5,34.1,2234,1
33.84,32.5,2235,1
3.85,20.86,2236,1
220.7,22.38,2237,1
433,25.7,2238,1
575.6,27.82,2239,1
769.7,30.7,2240,1
1051,31.5,2241,1
605.2,33.16,2242,1
381.2,31.9,2243,1
374.3,32.8,2244,1
1054,34.68,2245,1
753,37,2246,1
570,37.76,2247,1
391.4,37.06,2248,1
210.2,34.08,2249,1
46.28,31.28,2250,1
13.99,16.3,2251,1
200.6,18.08,2252,1
386.7,20.52,2253,1
565.7,22.86,2254,1
728.4,25.66,2255,1
855,28.42,2256,1
932,30.6,2257,1
958,32.16,2258,1
923,33.18,2259,1
833,35.06,2260,1
699.1,34.98,2261,1
537,34.8,2262,1
354.5,34.28,2263,1
173.4,31.5,2264,1
16.31,28.3,2265,1
85.2,15.46,2266,1
266,17.8,2267,1
159.4,19.44,2268,1
597.9,21.78,2269,1
752.1,23.94,2270,1
869,26.1,2271,1
933,28.4,2272,1
942,30.74,2273,1
896,31.6,2274,1
797.6,31.8,2275,1
654.6,32.6,2276,1
484.1,32.04,2277,1
303.3,29.68,2278,1
127.6,27.7,2279,1
4.17,25.18,2280,1
86.4,16.24,2281,1
289.5,17.2,2282,1
476.6,19.6,2283,1
648.2,22,2284,1
789.7,24.6,2285,1
892,26.32,2286,1
944,28.38,2287,1
938,29.8,2288,1
877,31.3,2289,1
757.2,31.6,2290,1
601.2,31.8,2291,1
428.5,30.64,2292,1
245.7,29.26,2293,1
81.7,26.4,2294,1
4.21,14.3,2295,1
161.6,15.4,2296,1
343.4,17.5,2297,1
524,19.7,2298,1
689,22.3,2299,1
823,25.4,2300,1
913,28.12,2301,1
943,30.42,2302,1
921,32.08,2303,1
843,33.6,2304,1
714.8,34.6,2305,1
556,35.6,2306,1
376.9,34.8,2307,1
197.2,32.54,2308,1
34.68,29.4,2309,1
50.28,15,2310,1
213.9,17.42,2311,1
401.6,20.66,2312,1
578.3,24.46,2313,1
737.5,27.2,2314,1
857,30.1,2315,1
930,32.78,2316,1
951,34.36,2317,1
918,36.26,2318,1
532.1,37.74,2319,1
641.8,38.5,2320,1
506.4,38.5,2321,1
334.1,38.82,2322,1
162.8,37.98,2323,1
5.46,34.44,2324,1
98.7,20.96,2325,1
272.1,25.04,2326,1
459.4,28.94,2327,1
482.5,31.16,2328,1
785.7,34.76,2329,1
876,37.14,2330,1
927,38.56,2331,1
919,40.22,2332,1
857,41.22,2333,1
738.7,42.3,2334,1
609.5,40.5,2335,1
374.3,39.58,2336,1
281.3,39.1,2337,1
30.6,33.82,2338,1
6.78,19.5,2339,1
85.8,20.7,2340,1
